Data;13761 - Dívida bruta do governo geral - Saldos em R$ milhões - Metodologia utilizada a partir de 2008 - R$ (milhões)
12/2006;1.336.644,90
01/2007;1.367.451,91
02/2007;1.399.083,71
03/2007;1.423.273,45
04/2007;1.438.854,85
05/2007;1.474.335,20
06/2007;1.499.458,73
07/2007;1.517.874,00
08/2007;1.536.267,53
09/2007;1.533.431,76
10/2007;1.538.287,06
11/2007;1.544.955,73
12/2007;1.542.851,83
01/2008;1.579.474,28
02/2008;1.583.893,92
03/2008;1.599.048,51
04/2008;1.602.356,93
05/2008;1.598.411,02
06/2008;1.612.136,73
07/2008;1.632.713,68
08/2008;1.634.590,62
09/2008;1.656.166,53
10/2008;1.684.285,47
11/2008;1.687.694,48
12/2008;1.740.887,81
01/2009;1.775.483,00
02/2009;1.791.071,99
03/2009;1.812.527,10
04/2009;1.797.074,17
05/2009;1.813.137,25
06/2009;1.859.801,55
07/2009;1.908.617,46
08/2009;1.951.925,05
09/2009;1.962.852,34
10/2009;1.983.867,72
11/2009;1.980.097,86
12/2009;1.973.423,68
01/2010;2.015.576,95
02/2010;2.014.967,24
03/2010;1.947.898,93
04/2010;1.968.164,60
05/2010;1.991.352,70
06/2010;2.010.317,66
07/2010;2.027.615,02
08/2010;2.034.861,82
09/2010;2.057.909,40
10/2010;2.087.755,65
11/2010;2.099.149,01
12/2010;2.011.521,66
01/2011;2.058.854,32
02/2011;2.083.421,75
03/2011;2.112.891,09
04/2011;2.135.389,03
05/2011;2.146.725,96
06/2011;2.177.090,41
07/2011;2.204.280,74
08/2011;2.216.647,64
09/2011;2.226.487,19
10/2011;2.226.255,49
11/2011;2.245.928,13
12/2011;2.243.603,72
01/2012;2.287.084,44
02/2012;2.322.816,00
03/2012;2.366.667,46
04/2012;2.405.973,84
05/2012;2.425.795,73
06/2012;2.449.693,36
07/2012;2.480.227,83
08/2012;2.491.332,22
09/2012;2.542.432,69
10/2012;2.590.520,15
11/2012;2.615.831,55
12/2012;2.583.946,35
01/2013;2.623.366,11
02/2013;2.641.965,88
03/2013;2.663.208,83
04/2013;2.682.330,01
05/2013;2.710.764,58
06/2013;2.715.918,70
07/2013;2.744.022,88
08/2013;2.749.278,71
09/2013;2.747.899,58
10/2013;2.779.361,47
11/2013;2.783.266,92
12/2013;2.747.996,71
01/2014;2.829.599,14
02/2014;2.816.714,17
03/2014;2.835.759,16
04/2014;2.865.058,28
05/2014;2.895.819,41
06/2014;2.941.138,57
07/2014;2.983.108,33
08/2014;3.034.679,53
09/2014;3.132.133,12
10/2014;3.168.712,96
11/2014;3.217.851,37
12/2014;3.252.448,55
01/2015;3.315.324,38
02/2015;3.386.880,84
03/2015;3.480.229,29
04/2015;3.468.109,37
05/2015;3.538.708,31
06/2015;3.588.440,40
07/2015;3.684.950,96
08/2015;3.743.680,99
09/2015;3.789.051,79
10/2015;3.813.936,88
11/2015;3.844.680,88
12/2015;3.927.523,06
01/2016;3.992.779,14
02/2016;4.017.298,55
03/2016;4.005.700,25
04/2016;4.039.289,28
05/2016;4.113.898,58
06/2016;4.130.830,60
07/2016;4.213.993,30
08/2016;4.272.828,76
09/2016;4.329.703,13
10/2016;4.330.508,19
