Data;5355 - NFSP sem desvalorização cambial (% PIB) - Fluxo mensal corrente - Resultado primário - Total - Governo Federal - %
01/1999;-2,71
02/1999;-2,21
03/1999;-3,94
04/1999;-1,48
05/1999;-0,13
06/1999;-4,29
07/1999;-4,20
08/1999;-3,32
09/1999;-4,03
10/1999;-0,88
11/1999;-0,44
12/1999;1,25
01/2000;-1,28
02/2000;-2,66
03/2000;-5,40
04/2000;-2,42
05/2000;-3,31
06/2000;-1,69
07/2000;-0,44
08/2000;-4,45
09/2000;-1,76
10/2000;1,34
11/2000;-1,91
12/2000;2,33
01/2001;-2,59
02/2001;-1,11
03/2001;-3,63
04/2001;-6,11
05/2001;-3,66
06/2001;-1,37
07/2001;-1,18
08/2001;-2,23
09/2001;-1,87
10/2001;-1,68
11/2001;-0,77
12/2001;5,18
01/2002;-6,28
02/2002;-1,97
03/2002;-2,00
04/2002;-4,81
05/2002;-1,53
06/2002;-1,50
07/2002;-1,69
08/2002;-1,17
09/2002;-4,90
10/2002;-3,28
11/2002;-1,18
12/2002;3,24
01/2003;-5,37
02/2003;-3,49
03/2003;-2,47
04/2003;-7,33
05/2003;-2,42
06/2003;-0,65
07/2003;-2,32
08/2003;-1,81
09/2003;-2,75
10/2003;-2,98
11/2003;-1,43
12/2003;5,05
01/2004;-5,04
02/2004;-3,44
03/2004;-3,71
04/2004;-4,76
05/2004;-2,95
06/2004;-3,31
07/2004;-2,42
08/2004;-2,26
09/2004;-2,43
10/2004;-3,17
11/2004;-1,41
12/2004;1,71
01/2005;-5,27
02/2005;-1,31
03/2005;-4,06
04/2005;-8,04
05/2005;-1,25
06/2005;-3,35
07/2005;-3,10
08/2005;-2,53
09/2005;-1,59
10/2005;-3,29
11/2005;-0,18
12/2005;2,25
01/2006;-1,83
02/2006;-1,84
03/2006;-2,87
04/2006;-8,66
05/2006;-1,59
06/2006;-3,57
07/2006;-1,77
08/2006;-3,47
09/2006;-0,05
10/2006;-3,55
11/2006;0,05
12/2006;2,66
01/2007;-5,74
02/2007;-1,33
03/2007;-1,77
04/2007;-6,85
05/2007;-2,37
06/2007;-2,47
07/2007;-2,18
08/2007;-1,50
09/2007;-0,40
10/2007;-4,10
11/2007;-1,98
12/2007;3,65
01/2008;-7,20
02/2008;-1,76
03/2008;-4,48
04/2008;-6,67
05/2008;-1,93
06/2008;-2,72
07/2008;-2,89
08/2008;-2,72
09/2008;-1,95
10/2008;-5,06
11/2008;1,19
12/2008;8,00
01/2009;-1,97
02/2009;-0,36
03/2009;-2,21
04/2009;-4,15
05/2009;0,10
06/2009;0,41
07/2009;-0,62
08/2009;-1,40
09/2009;2,75
10/2009;-3,70
11/2009;-3,51
12/2009;-0,63
01/2010;-4,76
02/2010;0,26
03/2010;1,19
04/2010;-5,33
05/2010;0,44
06/2010;-0,26
07/2010;-0,20
08/2010;-1,07
09/2010;-7,60
10/2010;-2,09
11/2010;-0,50
12/2010;-4,38
01/2011;-4,25
02/2011;-0,78
03/2011;-2,72
04/2011;-4,31
05/2011;-1,22
06/2011;-2,70
07/2011;-2,99
08/2011;-0,56
09/2011;-1,63
10/2011;-2,99
11/2011;-1,26
12/2011;-0,59
01/2012;-5,56
02/2012;-1,44
03/2012;-1,89
04/2012;-2,99
05/2012;-0,41
06/2012;-0,53
07/2012;-0,95
08/2012;-0,30
09/2012;-0,27
10/2012;-2,35
11/2012;1,34
12/2012;-6,74
01/2013;-6,38
02/2013;1,81
03/2013;-0,26
04/2013;-1,64
05/2013;-1,18
06/2013;-0,34
07/2013;-0,88
08/2013;0,02
09/2013;2,40
10/2013;-1,13
11/2013;-6,16
12/2013;-3,22
01/2014;-2,75
02/2014;0,74
03/2014;-0,67
04/2014;-3,49
05/2014;2,27
06/2014;0,63
07/2014;0,36
08/2014;2,46
09/2014;4,27
10/2014;-0,94
11/2014;1,28
12/2014;-0,13
01/2015;-2,15
02/2015;1,43
03/2015;-0,30
04/2015;-2,16
05/2015;1,75
06/2015;1,74
07/2015;1,22
08/2015;1,34
09/2015;1,36
10/2015;2,38
11/2015;4,21
12/2015;11,80
01/2016;-4,36
02/2016;5,39
03/2016;1,68
04/2016;-1,67
05/2016;3,42
06/2016;1,99
07/2016;2,28
08/2016;4,15
09/2016;5,06
10/2016;-7,29
11/2016;7,27
12/2016;11,73
01/2017;-5,14
02/2017;5,65
03/2017;2,09
04/2017;-2,17
05/2017;5,81
06/2017;3,67
07/2017;2,53
08/2017;1,77
09/2017;4,07
10/2017;-0,87
11/2017;0,05
12/2017;3,83
01/2018;-6,64
02/2018;3,52
03/2018;4,34
04/2018;-0,93
05/2018;1,97
06/2018;2,55
07/2018;0,43
08/2018;3,49
09/2018;4,21
10/2018;-1,72
11/2018;2,80
12/2018;5,49
01/2019;-6,14
02/2019;3,57
03/2019;3,40
04/2019;-1,04
05/2019;2,14
06/2019;2,03
07/2019;0,21
08/2019;2,61
09/2019;3,32
10/2019;-1,33
11/2019;2,83
12/2019;2,53
01/2020;-7,43
02/2020;4,35
03/2020;3,39
04/2020;16,18
05/2020;22,03
06/2020;32,13
07/2020;13,67
08/2020;15,13
09/2020;11,59
10/2020;0,47
11/2020;2,98
12/2020;6,35
01/2021;-6,38
02/2021;3,20
03/2021;-0,52
04/2021;-2,22
05/2021;2,88
06/2021;10,19
07/2021;2,20
08/2021;1,44
09/2021;-0,11
10/2021;-3,75
11/2021;-0,49
12/2021;-1,73
01/2022;-10,71
02/2022;2,56
03/2022;0,92
04/2022;-3,57
05/2022;4,76
06/2022;-1,63
07/2022;-2,31
08/2022;5,69
09/2022;-1,30
10/2022;-3,44
11/2022;1,86
12/2022;-0,70
01/2023;-9,78
02/2023;4,74
03/2023;1,04
04/2023;-1,87
05/2023;4,73
06/2023;5,12
07/2023;3,52
08/2023;2,80
09/2023;1,79
10/2023;-2,04
11/2023;4,03
12/2023;13,45
01/2024;-9,16
02/2024;6,44
03/2024;0,19
04/2024;-0,90
05/2024;6,33
06/2024;4,13
07/2024;0,82
08/2024;2,24
09/2024;0,38
10/2024;-3,74
11/2024;0,54
12/2024;-2,66
01/2025;-8,66
02/2025;2,87
03/2025;0,22
04/2025;-1,53
05/2025;3,56
06/2025;4,18
07/2025;5,18
08/2025;1,49
Fonte;BCB-DSTAT
